shannon_canon_pos,shannon_archive_pos
36294.27,18107.67
16157.92,29566.25
18179.35,21829.96
18279.29,28858.36
12990.86,18443.84
14390.03,21115.37
18629.87,35012.8
29794.2,42545.78
11862.96,27372.31
40036.92,44972.65
17054.64,26071.23
15615.42,30166.18
14956.52,25275.99
15920.92,37677.58
37953.14,35195.04
20259.11,9921.23
15354.92,26123.56
22912.24,26639.46
26992.07,21946.03
15391.61,19775.6
15764.76,30547.33
15580.7,22579.32
19622.39,25516.69
52608.42,24435.17
50350.08,28752.83
10408.0,26709.78
21161.41,33271.45
15388.39,51326.0
16583.5,55681.89
15379.13,56640.11
29911.71,23998.59
23848.55,9.65
27088.21,11009.38
16049.26,21146.89
14437.29,14722.93
63626.06,30011.48
13383.84,20702.09
11541.14,28515.2
38532.43,14992.87
15096.84,17221.66
14799.6,42276.45
87889.28,59201.84
53209.41,32378.93
7072.13,25207.72
22068.99,16249.94
15332.57,17411.3
21984.0,28604.08
15874.82,91182.48
28176.63,17979.9
14614.78,17588.09
13830.97,37089.82
40997.99,32080.61
30509.27,19602.74
12973.71,37653.78
13545.44,13865.47
33084.73,30554.38
16681.55,14559.85
13356.14,22503.15
13054.29,20287.18
13761.81,32806.66
23706.0,35510.65
33701.06,25566.64
39198.5,26030.49
34812.06,24114.36
13501.82,9416.37
12608.69,41467.71
13955.68,46140.07
14386.75,13032.36
13668.11,13764.33
13921.26,1643.53
11650.88,12170.99
125.44,21386.9
10714.85,21972.62
16584.84,35416.56
4616.27,28582.22
14361.7,19685.3
6829.06,27974.67
9188.2,25749.68
15722.56,3311.68
40825.95,15944.15
24264.26,22687.95
11943.45,22385.83
33460.68,33997.59
12205.7,35571.38
15196.91,33950.75
15127.59,24872.27
15417.62,17283.92
43885.06,22061.66
23315.58,22311.18
10767.02,29938.21
44997.86,30044.56
15775.4,3670.92
3147.51,14989.92
11767.4,37705.19
22428.66,16074.81
14786.68,21126.1
15497.17,22798.97
41442.4,29463.88
14613.95,37422.3
30751.1,17521.74
15080.13,21143.96
13916.59,17196.98
11237.8,23649.93
22268.27,32665.88
80354.92,44294.27
41619.27,36218.63
16805.57,8039.25
12233.0,21380.23
13876.0,8772.62
17471.49,29861.38
17385.4,31068.2
24250.41,17631.37
23162.57,15336.88
34911.14,55462.47
22622.36,13005.46
20759.52,25251.33
15985.89,27928.48
14629.01,45862.66
60961.97,18956.16
15589.64,14578.97
13559.03,17656.3
12108.68,12887.16
13873.37,19183.49
27003.63,6033.96
16735.83,25104.4
33875.47,5234.93
45379.26,23959.18
16528.56,14905.62
3308.66,14780.56
64059.26,23534.56
28869.45,20808.58
10268.24,12638.16
31808.28,34668.46
26020.84,13636.74
23963.67,11794.76
46731.78,33727.11
27929.81,25679.48
18461.45,29404.14
1800.8,31611.34
10585.13,31164.59
49699.73,37937.43
18752.17,13636.18
25655.07,34749.79
16166.55,33529.67
25700.72,16852.73
21689.7,19276.34
6767.0,19217.55
19763.1,11546.81
8824.59,14735.0
22150.44,21785.02
19662.26,30123.8
19430.37,135258.45
8128.99,20519.51
11340.0,19356.6
34637.45,14434.08
34056.23,14976.97
22768.74,26497.63
15666.99,10792.84
16893.27,25998.63
17797.71,19369.62
15550.34,2066.31
14912.95,50281.5
18098.03,9440.48
21118.53,9182.46
17802.74,18923.15
10238.27,6553.72
13008.77,13617.27
12341.74,34190.05
42403.85,36767.3
22764.33,36348.87
18355.05,24779.18
5722.09,22449.81
17730.84,1261.81
6550.52,24412.04
25039.33,11860.36
117781.97,37846.38
24534.79,23509.08
6951.29,12676.52
21718.52,20554.54
5309.99,16605.55
35614.94,17053.89
28983.58,12156.5
94669.55,12111.04
17537.76,28220.6
14047.35,18640.5
6399.7,2234.11
37410.74,51612.0
19862.35,12341.96
13442.47,25496.11
6203.93,13552.51
2235.56,32343.99
7233.13,19773.39
20632.19,26389.61
4418.79,8677.08
28178.47,24810.73
8027.58,17113.28
8395.57,21297.58
5404.47,16520.97
5962.12,14438.71
18827.04,57642.41
3336.39,10723.22
16115.69,6109.47
7861.51,6282.02
17377.28,17084.19
12079.45,8780.2
16826.21,23371.76
4595.03,21889.99
40917.43,16711.25
9739.04,11722.75
8894.0,24213.32
18297.05,25223.94
6116.72,20513.28
70329.61,24276.46
16176.71,18654.86
12813.76,11289.41
31019.25,27339.07
12541.14,34602.5
13758.56,22975.47
15519.0,15411.76
9230.26,15631.92
13116.02,46926.75
16543.86,52081.27
15407.13,19811.32
12575.64,19142.39
9961.31,26150.99
7067.63,29295.25
19615.65,27238.48
3532.57,19436.26
42035.09,3049.04
12749.97,27151.24
10902.81,28079.16
12179.92,30051.18
12795.42,812.44
9869.19,21523.38
21041.48,27138.18
5532.28,11017.69
1984.26,46656.29
12115.85,48670.1
15608.6,12261.89
22216.71,21064.18
3596.91,23790.19
5315.2,54909.37
17002.12,11839.58
6188.79,11106.9
7707.16,24003.34
35995.8,26898.74
39559.12,22810.18
10204.01,16919.9
6013.76,1821.08
7891.47,27030.42
9774.84,26229.01
12522.68,27720.3
20803.38,28114.42
34799.75,7343.82
13906.05,6328.82
12945.42,6736.13
17756.61,7116.67
10600.07,7670.11
17860.87,7596.33
2441.39,36973.27
17948.61,12464.48
17380.93,7569.57
14799.08,15643.32
7135.11,13160.99
37801.48,17246.49
10410.46,40413.19
6773.47,11945.51
26028.56,27872.85
5381.18,18019.58
9746.83,7701.42
5645.33,17211.04
20670.46,51594.15
3004.81,28999.06
34411.15,21862.69
25163.7,8028.45
33697.65,21387.54
12834.43,15097.14
7553.53,27126.76
19710.36,26725.53
9917.71,30040.64
9534.99,28716.47
3450.13,29083.82
29890.07,20051.15
14796.68,32548.9
29359.18,18814.17
4462.63,42610.34
2441.7,16597.6
8435.8,21596.97
14831.9,16834.27
16592.72,14433.92
15041.51,315.73
8538.27,14925.12
79533.1,13528.16
12153.34,21018.92
17250.33,45108.12
4237.77,17855.92
12503.45,13065.41
19196.44,14076.32
21930.56,9014.95
17444.6,34088.68
44778.27,40227.22
17753.74,33553.55
8955.94,18107.97
9712.18,19840.09
17946.04,11910.41
3098.11,24891.89
31230.31,27017.32
8570.56,20512.63
25926.47,49522.89
19408.51,14790.38
9426.22,18970.29
4415.44,21747.71
18331.61,16797.74
14413.79,29958.81
15972.85,20787.76
2467.25,12407.82
11412.4,9057.27
12327.98,15205.79
9795.72,13657.09
39897.78,16498.36
27135.27,13157.56
9968.76,21251.47
59414.33,27164.29
23352.79,19624.58
15523.79,18404.08
18024.76,14902.06
21844.98,17793.24
13430.42,5768.8
4207.63,51026.6
8004.92,20554.77
21059.75,25552.37
6494.34,29587.74
6058.89,8011.13
29522.55,65516.35
14326.63,86714.1
9240.85,87988.54
29789.24,46568.47
7493.39,39542.39
14989.88,18709.8
41027.33,19896.32
1826.1,22396.15
15538.21,21952.77
14617.45,14387.55
9423.55,24602.35
12523.29,22399.48
36929.9,31755.17
11187.76,15740.18
10042.72,20367.82
59671.8,69151.01
36680.08,78316.78
28521.84,21998.43
13492.93,12560.2
5353.17,13869.05
12427.63,237.34
9751.94,18790.55
20541.82,37607.8
13293.68,36937.6
22774.29,26727.45
30924.3,26938.59
21167.34,17559.57
33986.1,26762.91
7354.57,22820.02
17495.92,24182.2
9255.76,39631.92
7241.91,44739.09
30540.11,49572.62
8143.54,13857.64
13638.78,21562.03
8738.47,12775.05
13504.23,12111.05
21326.13,14649.75
2804.87,23813.61
20564.1,5245.14
21234.41,41729.81
27982.84,22654.95
11675.46,23034.71
19223.67,39685.84
8159.99,35825.63
15506.19,53867.93
12278.58,25454.4
23325.09,17058.73
58582.89,15134.93
7040.62,38360.43
3461.26,39041.97
25720.47,43561.08
25691.5,45830.67
11892.22,7897.19
13189.16,16581.75
